-180,65, TEXTURE ,1294,45,40,15,2, FAO , ASIA 
-163.5,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-163,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-163,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-163,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-163,67.5, TEXTURE ,1171,45,40,15,2, FAO , NAMERICA 
-163,68, TEXTURE ,1146,45,40,15,2, FAO , NAMERICA 
-163,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-163,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-163,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-162.5,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-162.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-162.5,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-162.5,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-162.5,68, TEXTURE ,1146,45,40,15,2, FAO , NAMERICA 
-162.5,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-162.5,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-162.5,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-162,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-162,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-162,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-162,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-162,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-162,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-162,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-162,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-162,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-161.5,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-161.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-161.5,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-161.5,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-161.5,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-161.5,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-161.5,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-161.5,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-161.5,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-161.5,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-161,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-161,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-161,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-161,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-161,67, TEXTURE ,1195,80,10,10,0, FAO , NAMERICA 
-161,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-161,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-161,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-161,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-161,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-160.5,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-160.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-160.5,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-160.5,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-160.5,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-160.5,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-160.5,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-160.5,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-160.5,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-160.5,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-160,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-160,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-160,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-160,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-160,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-160,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-160,68, TEXTURE ,1146,45,40,15,2, FAO , NAMERICA 
-160,68.5, TEXTURE ,1120,80,10,10,2, FAO , NAMERICA 
-160,69, TEXTURE ,1095,80,10,10,2, FAO , NAMERICA 
-160,69.5, TEXTURE ,1070,80,10,10,2, FAO , NAMERICA 
-159.5,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-159.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-159.5,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-159.5,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-159.5,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-159.5,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-159.5,68, TEXTURE ,1146,45,40,15,2, FAO , NAMERICA 
-159.5,68.5, TEXTURE ,1120,80,10,10,2, FAO , NAMERICA 
-159.5,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-159.5,69.5, TEXTURE ,1070,80,10,10,2, FAO , NAMERICA 
-159,65, TEXTURE ,1294,80,10,10,0, FAO , NAMERICA 
-159,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-159,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-159,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-159,67, TEXTURE ,1195,80,10,10,0, FAO , NAMERICA 
-159,67.5, TEXTURE ,1171,45,40,15,2, FAO , NAMERICA 
-159,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-159,68.5, TEXTURE ,1120,80,10,10,2, FAO , NAMERICA 
-159,69, TEXTURE ,1095,80,10,10,2, FAO , NAMERICA 
-159,69.5, TEXTURE ,1070,80,10,10,2, FAO , NAMERICA 
-158.5,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-158.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-158.5,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-158.5,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-158.5,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-158.5,67.5, TEXTURE ,1171,45,40,15,2, FAO , NAMERICA 
-158.5,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-158.5,68.5, TEXTURE ,1120,80,10,10,2, FAO , NAMERICA 
-158.5,69, TEXTURE ,1095,80,10,10,2, FAO , NAMERICA 
-158.5,69.5, TEXTURE ,1070,80,10,10,2, FAO , NAMERICA 
-158,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-158,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-158,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-158,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-158,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-158,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-158,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-158,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-158,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-158,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-157.5,65, TEXTURE ,1294,45,40,15,7, FAO , NAMERICA 
-157.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-157.5,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-157.5,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-157.5,67, TEXTURE ,1195,80,10,10,0, FAO , NAMERICA 
-157.5,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-157.5,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-157.5,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-157.5,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-157.5,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-157,65, TEXTURE ,1294,45,40,15,7, FAO , NAMERICA 
-157,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-157,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-157,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-157,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-157,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-157,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-157,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-157,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-157,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-156.5,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-156.5,65.5, TEXTURE ,1270,45,40,15,7, FAO , NAMERICA 
-156.5,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-156.5,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-156.5,67, TEXTURE ,1195,80,10,10,0, FAO , NAMERICA 
-156.5,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-156.5,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-156.5,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-156.5,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-156.5,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-156,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-156,65.5, TEXTURE ,1270,45,40,15,7, FAO , NAMERICA 
-156,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-156,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-156,67, TEXTURE ,1195,80,10,10,0, FAO , NAMERICA 
-156,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-156,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-156,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-156,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-156,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-155.5,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-155.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-155.5,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-155.5,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-155.5,67, TEXTURE ,1195,80,10,10,0, FAO , NAMERICA 
-155.5,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-155.5,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-155.5,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-155.5,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-155.5,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-155,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-155,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-155,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-155,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-155,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-155,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-155,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-155,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-155,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-155,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-154.5,65, TEXTURE ,1294,45,40,15,0, FAO , NAMERICA 
-154.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-154.5,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-154.5,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-154.5,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-154.5,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-154.5,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-154.5,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-154.5,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-154.5,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-154,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-154,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-154,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-154,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-154,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-154,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-154,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-154,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-154,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-154,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-153.5,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-153.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-153.5,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-153.5,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-153.5,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-153.5,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-153.5,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-153.5,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-153.5,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-153.5,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-153,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-153,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-153,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-153,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-153,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-153,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-153,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-153,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-153,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-153,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-152.5,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-152.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-152.5,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-152.5,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-152.5,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-152.5,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-152.5,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-152.5,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-152.5,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-152.5,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-152,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-152,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-152,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-152,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-152,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-152,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-152,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-152,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-152,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-152,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-151.5,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-151.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-151.5,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-151.5,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-151.5,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-151.5,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-151.5,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-151.5,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-151.5,69, TEXTURE ,1095,45,40,15,2, FAO , NAMERICA 
-151.5,69.5, TEXTURE ,1070,45,40,15,2, FAO , NAMERICA 
-151,65, TEXTURE ,1294,45,40,15,0, FAO , NAMERICA 
-151,65.5, TEXTURE ,1270,45,40,15,0, FAO , NAMERICA 
-151,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-151,66.5, TEXTURE ,1220,45,40,15,2, FAO , NAMERICA 
-151,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-151,67.5, TEXTURE ,1171,80,10,10,0, FAO , NAMERICA 
-151,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
