-180,65, phh2o ,1294,6.76166, ASIA
-175.5,65, phh2o ,1294,6.6393, ASIA
-175.5,65.5, phh2o ,1270,6.71947, ASIA
-175.5,66, phh2o ,1245,6.53281, ASIA
-175.5,66.5, phh2o ,1220,5.70561, ASIA
-175.5,67, phh2o ,1195,5.6, ASIA
-175,65, phh2o ,1294,6.67727, ASIA
-175,65.5, phh2o ,1270,6.43898, ASIA
-175,66, phh2o ,1245,5.68298, ASIA
-175,66.5, phh2o ,1220,5.76595, ASIA
-174.5,65, phh2o ,1294,6.76166, ASIA
-174.5,65.5, phh2o ,1270,6.71698, ASIA
-174.5,66, phh2o ,1245,6.76166, ASIA
-174,65, phh2o ,1294,6.75744, ASIA
-174,65.5, phh2o ,1270,6.75363, ASIA
-174,66, phh2o ,1245,6.76166, ASIA
-174,66.5, phh2o ,1220,6.76166, ASIA
-173.5,65, phh2o ,1294,6.70681, ASIA
-173.5,65.5, phh2o ,1270,6.72296, ASIA
-173.5,66, phh2o ,1245,6.76166, ASIA
-173.5,66.5, phh2o ,1220,6.76166, ASIA
-173,65, phh2o ,1294,6.73495, ASIA
-173,65.5, phh2o ,1270,6.70468, ASIA
-173,66, phh2o ,1245,6.75783, ASIA
-173,66.5, phh2o ,1220,5.85332, ASIA
-172.5,65, phh2o ,1294,6.69445, ASIA
-172.5,65.5, phh2o ,1270,6.6849, ASIA
-172.5,66, phh2o ,1245,6.7215, ASIA
-172.5,66.5, phh2o ,1220,5.60624, ASIA
-172,65.5, phh2o ,1270,6.72645, ASIA
-172,66, phh2o ,1245,6.71339, ASIA
-172,66.5, phh2o ,1220,5.26304, ASIA
-171.5,65.5, phh2o ,1270,6.70845, ASIA
-171.5,66, phh2o ,1245,6.76166, ASIA
-171,65.5, phh2o ,1270,6.75445, ASIA
-171,66, phh2o ,1245,6.15071, ASIA
-170.5,66, phh2o ,1245,6.15071, ASIA
-168,65.5, phh2o ,1270,6.15071, NAMERICA
-167.5,65.5, phh2o ,1270,6.82772, NAMERICA
-167,65, phh2o ,1294,5.1798, NAMERICA
-167,65.5, phh2o ,1270,5.17753, NAMERICA
-166.5,65, phh2o ,1294,5.18305, NAMERICA
-166.5,65.5, phh2o ,1270,5.17753, NAMERICA
-166,65, phh2o ,1294,5.185, NAMERICA
-166,65.5, phh2o ,1270,5.17753, NAMERICA
-166,66, phh2o ,1245,6.3604, NAMERICA
-166,68, phh2o ,1146,6.3604, NAMERICA
-166,68.5, phh2o ,1120,6.15071, NAMERICA
-165.5,65, phh2o ,1294,5.18565, NAMERICA
-165.5,65.5, phh2o ,1270,5.17753, NAMERICA
-165.5,66, phh2o ,1245,6.3604, NAMERICA
-165.5,68, phh2o ,1146,6.3604, NAMERICA
-165.5,68.5, phh2o ,1120,6.15071, NAMERICA
-165,65, phh2o ,1294,5.18792, NAMERICA
-165,65.5, phh2o ,1270,5.17753, NAMERICA
-165,66, phh2o ,1245,6.3604, NAMERICA
-165,67.5, phh2o ,1171,6.3604, NAMERICA
-165,68, phh2o ,1146,6.3604, NAMERICA
-165,68.5, phh2o ,1120,6.15071, NAMERICA
-164.5,65, phh2o ,1294,5.18922, NAMERICA
-164.5,65.5, phh2o ,1270,5.17753, NAMERICA
-164.5,66, phh2o ,1245,6.3604, NAMERICA
-164.5,67.5, phh2o ,1171,6.3604, NAMERICA
-164.5,68, phh2o ,1146,6.3604, NAMERICA
-164.5,68.5, phh2o ,1120,6.15071, NAMERICA
-164,65, phh2o ,1294,5.18922, NAMERICA
-164,65.5, phh2o ,1270,5.18254, NAMERICA
-164,67, phh2o ,1195,6.3604, NAMERICA
-164,67.5, phh2o ,1171,6.32984, NAMERICA
-164,68, phh2o ,1146,6.3604, NAMERICA
-164,68.5, phh2o ,1120,6.3604, NAMERICA
-163.5,65, phh2o ,1294,5.18922, NAMERICA
-163.5,65.5, phh2o ,1270,5.18922, NAMERICA
-163.5,67, phh2o ,1195,6.34076, NAMERICA
-163.5,67.5, phh2o ,1171,6.26491, NAMERICA
-163.5,68, phh2o ,1146,6.3604, NAMERICA
-163.5,68.5, phh2o ,1120,6.41687, NAMERICA
-163.5,69, phh2o ,1095,6.58627, NAMERICA
-163,65, phh2o ,1294,5.18922, NAMERICA
-163,65.5, phh2o ,1270,5.18922, NAMERICA
-163,67, phh2o ,1195,6.35153, NAMERICA
-163,67.5, phh2o ,1171,6.24582, NAMERICA
-163,68, phh2o ,1146,6.3604, NAMERICA
-163,68.5, phh2o ,1120,6.46706, NAMERICA
-163,69, phh2o ,1095,6.58627, NAMERICA
-163,69.5, phh2o ,1070,6.15071, NAMERICA
-162.5,65, phh2o ,1294,5.18922, NAMERICA
-162.5,65.5, phh2o ,1270,5.18922, NAMERICA
-162.5,67, phh2o ,1195,6.28969, NAMERICA
-162.5,67.5, phh2o ,1171,6.242, NAMERICA
-162.5,68, phh2o ,1146,6.35658, NAMERICA
-162.5,68.5, phh2o ,1120,6.39805, NAMERICA
-162.5,69, phh2o ,1095,6.58, NAMERICA
-162.5,69.5, phh2o ,1070,6.58627, NAMERICA
-162,65, phh2o ,1294,5.18922, NAMERICA
-162,65.5, phh2o ,1270,5.18013, NAMERICA
-162,66.5, phh2o ,1220,6.31457, NAMERICA
-162,67, phh2o ,1195,6.2229, NAMERICA
-162,67.5, phh2o ,1171,6.2229, NAMERICA
-162,68, phh2o ,1146,6.33748, NAMERICA
-162,68.5, phh2o ,1120,6.3604, NAMERICA
-162,69, phh2o ,1095,6.46706, NAMERICA
-162,69.5, phh2o ,1070,6.58627, NAMERICA
-161.5,65, phh2o ,1294,5.18792, NAMERICA
-161.5,65.5, phh2o ,1270,5.17753, NAMERICA
-161.5,66, phh2o ,1245,5.18603, NAMERICA
-161.5,66.5, phh2o ,1220,6.32984, NAMERICA
-161.5,67, phh2o ,1195,6.2229, NAMERICA
-161.5,67.5, phh2o ,1171,6.2229, NAMERICA
-161.5,68, phh2o ,1146,6.33748, NAMERICA
-161.5,68.5, phh2o ,1120,6.3604, NAMERICA
-161.5,69, phh2o ,1095,6.40432, NAMERICA
-161.5,69.5, phh2o ,1070,6.58627, NAMERICA
-161,65, phh2o ,1294,5.18922, NAMERICA
-161,65.5, phh2o ,1270,5.17847, NAMERICA
-161,66, phh2o ,1245,5.18792, NAMERICA
-161,66.5, phh2o ,1220,6.23989, NAMERICA
-161,67, phh2o ,1195,6.2229, NAMERICA
-161,67.5, phh2o ,1171,6.2229, NAMERICA
-161,68, phh2o ,1146,6.32603, NAMERICA
-161,68.5, phh2o ,1120,6.3604, NAMERICA
-161,69, phh2o ,1095,6.39805, NAMERICA
-161,69.5, phh2o ,1070,6.58627, NAMERICA
-160.5,65, phh2o ,1294,5.18922, NAMERICA
-160.5,65.5, phh2o ,1270,5.18229, NAMERICA
-160.5,66, phh2o ,1245,5.18749, NAMERICA
-160.5,66.5, phh2o ,1220,6.07722, NAMERICA
-160.5,67, phh2o ,1195,6.2229, NAMERICA
-160.5,67.5, phh2o ,1171,6.29929, NAMERICA
-160.5,68, phh2o ,1146,6.29547, NAMERICA
-160.5,68.5, phh2o ,1120,6.3604, NAMERICA
-160.5,69, phh2o ,1095,6.3855, NAMERICA
-160.5,69.5, phh2o ,1070,6.58627, NAMERICA
-160,65, phh2o ,1294,5.18922, NAMERICA
-160,65.5, phh2o ,1270,5.18545, NAMERICA
-160,66, phh2o ,1245,5.18432, NAMERICA
-160,66.5, phh2o ,1220,5.94709, NAMERICA
-160,67, phh2o ,1195,6.23436, NAMERICA
-160,67.5, phh2o ,1171,6.32603, NAMERICA
-160,68, phh2o ,1146,6.29547, NAMERICA
-160,68.5, phh2o ,1120,6.3604, NAMERICA
-160,69, phh2o ,1095,6.3604, NAMERICA
-160,69.5, phh2o ,1070,6.58627, NAMERICA
-159.5,65, phh2o ,1294,5.18922, NAMERICA
-159.5,65.5, phh2o ,1270,5.18565, NAMERICA
-159.5,66, phh2o ,1245,5.18337, NAMERICA
-159.5,66.5, phh2o ,1220,5.78443, NAMERICA
-159.5,67, phh2o ,1195,6.28019, NAMERICA
-159.5,67.5, phh2o ,1171,6.30311, NAMERICA
-159.5,68, phh2o ,1146,6.31457, NAMERICA
-159.5,68.5, phh2o ,1120,6.3604, NAMERICA
-159.5,69, phh2o ,1095,6.3604, NAMERICA
-159.5,69.5, phh2o ,1070,6.58627, NAMERICA
-159,65, phh2o ,1294,5.18922, NAMERICA
-159,65.5, phh2o ,1270,5.18825, NAMERICA
-159,66, phh2o ,1245,5.18597, NAMERICA
-159,66.5, phh2o ,1220,5.76926, NAMERICA
-159,67, phh2o ,1195,6.31457, NAMERICA
-159,67.5, phh2o ,1171,6.29165, NAMERICA
-159,68, phh2o ,1146,6.31457, NAMERICA
-159,68.5, phh2o ,1120,6.3604, NAMERICA
-159,69, phh2o ,1095,6.3604, NAMERICA
-159,69.5, phh2o ,1070,6.58627, NAMERICA
-158.5,65, phh2o ,1294,5.18922, NAMERICA
-158.5,65.5, phh2o ,1270,5.18922, NAMERICA
-158.5,66, phh2o ,1245,5.19875, NAMERICA
-158.5,66.5, phh2o ,1220,5.86496, NAMERICA
-158.5,67, phh2o ,1195,6.29547, NAMERICA
-158.5,67.5, phh2o ,1171,6.29165, NAMERICA
-158.5,68, phh2o ,1146,6.3413, NAMERICA
-158.5,68.5, phh2o ,1120,6.3604, NAMERICA
-158.5,69, phh2o ,1095,6.3604, NAMERICA
-158.5,69.5, phh2o ,1070,6.58627, NAMERICA
-158,65, phh2o ,1294,5.21399, NAMERICA
-158,65.5, phh2o ,1270,5.18922, NAMERICA
-158,66, phh2o ,1245,5.21589, NAMERICA
-158,66.5, phh2o ,1220,5.94964, NAMERICA
-158,67, phh2o ,1195,6.24582, NAMERICA
-158,67.5, phh2o ,1171,6.26873, NAMERICA
-158,68, phh2o ,1146,6.3604, NAMERICA
-158,68.5, phh2o ,1120,6.3604, NAMERICA
-158,69, phh2o ,1095,6.3604, NAMERICA
-158,69.5, phh2o ,1070,6.58627, NAMERICA
-157.5,65, phh2o ,1294,5.24447, NAMERICA
-157.5,65.5, phh2o ,1270,5.18922, NAMERICA
-157.5,66, phh2o ,1245,5.23495, NAMERICA
-157.5,66.5, phh2o ,1220,6.13471, NAMERICA
-157.5,67, phh2o ,1195,6.2229, NAMERICA
-157.5,67.5, phh2o ,1171,6.24582, NAMERICA
-157.5,68, phh2o ,1146,6.3604, NAMERICA
-157.5,68.5, phh2o ,1120,6.3604, NAMERICA
-157.5,69, phh2o ,1095,6.37295, NAMERICA
-157.5,69.5, phh2o ,1070,6.58627, NAMERICA
-157,65, phh2o ,1294,5.25781, NAMERICA
-157,65.5, phh2o ,1270,5.19875, NAMERICA
-157,66, phh2o ,1245,5.27825, NAMERICA
-157,66.5, phh2o ,1220,6.30766, NAMERICA
-157,67, phh2o ,1195,6.2229, NAMERICA
-157,67.5, phh2o ,1171,6.24582, NAMERICA
-157,68, phh2o ,1146,6.3604, NAMERICA
-157,68.5, phh2o ,1120,6.3604, NAMERICA
-157,69, phh2o ,1095,6.39805, NAMERICA
-157,69.5, phh2o ,1070,6.58627, NAMERICA
-156.5,65, phh2o ,1294,5.25781, NAMERICA
-156.5,65.5, phh2o ,1270,5.254, NAMERICA
-156.5,66, phh2o ,1245,5.48727, NAMERICA
-156.5,66.5, phh2o ,1220,6.29556, NAMERICA
-156.5,67, phh2o ,1195,6.2229, NAMERICA
-156.5,67.5, phh2o ,1171,6.24582, NAMERICA
-156.5,68, phh2o ,1146,6.3604, NAMERICA
-156.5,68.5, phh2o ,1120,6.3604, NAMERICA
-156.5,69, phh2o ,1095,6.39805, NAMERICA
-156.5,69.5, phh2o ,1070,6.58627, NAMERICA
-156,65, phh2o ,1294,5.22949, NAMERICA
-156,65.5, phh2o ,1270,5.23233, NAMERICA
-156,66, phh2o ,1245,5.69469, NAMERICA
-156,66.5, phh2o ,1220,6.29556, NAMERICA
-156,67, phh2o ,1195,6.2229, NAMERICA
-156,67.5, phh2o ,1171,6.24582, NAMERICA
-156,68, phh2o ,1146,6.3604, NAMERICA
-156,68.5, phh2o ,1120,6.3604, NAMERICA
-156,69, phh2o ,1095,6.39805, NAMERICA
-156,69.5, phh2o ,1070,6.58627, NAMERICA
-155.5,65, phh2o ,1294,5.20684, NAMERICA
-155.5,65.5, phh2o ,1270,5.20967, NAMERICA
-155.5,66, phh2o ,1245,5.89674, NAMERICA
-155.5,66.5, phh2o ,1220,6.29556, NAMERICA
-155.5,67, phh2o ,1195,6.2229, NAMERICA
-155.5,67.5, phh2o ,1171,6.24964, NAMERICA
-155.5,68, phh2o ,1146,6.3604, NAMERICA
-155.5,68.5, phh2o ,1120,6.3604, NAMERICA
-155.5,69, phh2o ,1095,6.39805, NAMERICA
-155.5,69.5, phh2o ,1070,6.58627, NAMERICA
-155,65, phh2o ,1294,5.20684, NAMERICA
-155,65.5, phh2o ,1270,5.17569, NAMERICA
-155,66, phh2o ,1245,6.03145, NAMERICA
-155,66.5, phh2o ,1220,6.29556, NAMERICA
-155,67, phh2o ,1195,6.2229, NAMERICA
-155,67.5, phh2o ,1171,6.26109, NAMERICA
-155,68, phh2o ,1146,6.3604, NAMERICA
-155,68.5, phh2o ,1120,6.3604, NAMERICA
-155,69, phh2o ,1095,6.39805, NAMERICA
-155,69.5, phh2o ,1070,6.58627, NAMERICA
-154.5,65, phh2o ,1294,5.18702, NAMERICA
-154.5,65.5, phh2o ,1270,5.21534, NAMERICA
-154.5,66, phh2o ,1245,6.16615, NAMERICA
-154.5,66.5, phh2o ,1220,6.29959, NAMERICA
-154.5,67, phh2o ,1195,6.2229, NAMERICA
-154.5,67.5, phh2o ,1171,6.24582, NAMERICA
-154.5,68, phh2o ,1146,6.3604, NAMERICA
-154.5,68.5, phh2o ,1120,6.3604, NAMERICA
-154.5,69, phh2o ,1095,6.39805, NAMERICA
-154.5,69.5, phh2o ,1070,6.58627, NAMERICA
-154,65, phh2o ,1294,5.1587, NAMERICA
-154,65.5, phh2o ,1270,5.24082, NAMERICA
-154,66, phh2o ,1245,6.07362, NAMERICA
-154,66.5, phh2o ,1220,6.31977, NAMERICA
-154,67, phh2o ,1195,6.2229, NAMERICA
-154,67.5, phh2o ,1171,6.24582, NAMERICA
-154,68, phh2o ,1146,6.3604, NAMERICA
-154,68.5, phh2o ,1120,6.3604, NAMERICA
-154,69, phh2o ,1095,6.39805, NAMERICA
-154,69.5, phh2o ,1070,6.58627, NAMERICA
-153.5,65, phh2o ,1294,5.22712, NAMERICA
-153.5,65.5, phh2o ,1270,5.19551, NAMERICA
-153.5,66, phh2o ,1245,5.99808, NAMERICA
-153.5,66.5, phh2o ,1220,6.32381, NAMERICA
-153.5,67, phh2o ,1195,6.2229, NAMERICA
-153.5,67.5, phh2o ,1171,6.24582, NAMERICA
-153.5,68, phh2o ,1146,6.3604, NAMERICA
-153.5,68.5, phh2o ,1120,6.3604, NAMERICA
-153.5,69, phh2o ,1095,6.41687, NAMERICA
-153.5,69.5, phh2o ,1070,6.58627, NAMERICA
-153,65, phh2o ,1294,5.24138, NAMERICA
-153,65.5, phh2o ,1270,5.17852, NAMERICA
-153,66, phh2o ,1245,5.96723, NAMERICA
-153,66.5, phh2o ,1220,6.35206, NAMERICA
-153,67, phh2o ,1195,6.2229, NAMERICA
-153,67.5, phh2o ,1171,6.22672, NAMERICA
-153,68, phh2o ,1146,6.3604, NAMERICA
-153,68.5, phh2o ,1120,6.3604, NAMERICA
-153,69, phh2o ,1095,6.43569, NAMERICA
-153,69.5, phh2o ,1070,6.58627, NAMERICA
-152.5,65, phh2o ,1294,5.24138, NAMERICA
-152.5,65.5, phh2o ,1270,5.23233, NAMERICA
-152.5,66, phh2o ,1245,5.53541, NAMERICA
-152.5,66.5, phh2o ,1220,6.36821, NAMERICA
-152.5,67, phh2o ,1195,6.26326, NAMERICA
-152.5,67.5, phh2o ,1171,6.2229, NAMERICA
-152.5,68, phh2o ,1146,6.35276, NAMERICA
-152.5,68.5, phh2o ,1120,6.3604, NAMERICA
-152.5,69, phh2o ,1095,6.43569, NAMERICA
-152.5,69.5, phh2o ,1070,6.58627, NAMERICA
-152,65, phh2o ,1294,5.24138, NAMERICA
-152,65.5, phh2o ,1270,5.221, NAMERICA
-152,66, phh2o ,1245,5.25781, NAMERICA
-152,66.5, phh2o ,1220,6.18314, NAMERICA
-152,67, phh2o ,1195,6.25923, NAMERICA
-152,67.5, phh2o ,1171,6.2229, NAMERICA
-152,68, phh2o ,1146,6.33748, NAMERICA
-152,68.5, phh2o ,1120,6.3604, NAMERICA
-152,69, phh2o ,1095,6.42885, NAMERICA
-152,69.5, phh2o ,1070,6.58627, NAMERICA
-151.5,65, phh2o ,1294,5.34113, NAMERICA
-151.5,65.5, phh2o ,1270,5.1587, NAMERICA
-151.5,66, phh2o ,1245,5.24932, NAMERICA
-151.5,66.5, phh2o ,1220,5.97542, NAMERICA
-151.5,67, phh2o ,1195,6.23501, NAMERICA
-151.5,67.5, phh2o ,1171,6.2229, NAMERICA
-151.5,68, phh2o ,1146,6.31457, NAMERICA
-151.5,68.5, phh2o ,1120,6.3604, NAMERICA
-151.5,69, phh2o ,1095,6.3855, NAMERICA
-151.5,69.5, phh2o ,1070,6.58627, NAMERICA
-151,65, phh2o ,1294,5.48364, NAMERICA
-151,65.5, phh2o ,1270,5.15587, NAMERICA
-151,66, phh2o ,1245,5.1672, NAMERICA
-151,66.5, phh2o ,1220,5.99777, NAMERICA
-151,67, phh2o ,1195,6.23905, NAMERICA
-151,67.5, phh2o ,1171,6.2229, NAMERICA
-151,68, phh2o ,1146,6.29547, NAMERICA
-151,68.5, phh2o ,1120,6.3604, NAMERICA
-151,69, phh2o ,1095,6.3604, NAMERICA
-151,69.5, phh2o ,1070,6.55152, NAMERICA
-150.5,65, phh2o ,1294,5.6404, NAMERICA
-150.5,65.5, phh2o ,1270,5.15587, NAMERICA
-150.5,66, phh2o ,1245,5.15587, NAMERICA
-150.5,66.5, phh2o ,1220,6.16615, NAMERICA
-150.5,67, phh2o ,1195,6.24712, NAMERICA
-150.5,67.5, phh2o ,1171,6.2229, NAMERICA
-150.5,68, phh2o ,1146,6.27637, NAMERICA
-150.5,68.5, phh2o ,1120,6.3604, NAMERICA
-150.5,69, phh2o ,1095,6.3604, NAMERICA
-150.5,69.5, phh2o ,1070,6.50157, NAMERICA
-150,65, phh2o ,1294,5.59765, NAMERICA
-150,65.5, phh2o ,1270,5.24138, NAMERICA
-150,66, phh2o ,1245,5.15587, NAMERICA
-150,66.5, phh2o ,1220,6.16615, NAMERICA
-150,67, phh2o ,1195,6.26326, NAMERICA
-150,67.5, phh2o ,1171,6.2229, NAMERICA
-150,68, phh2o ,1146,6.25728, NAMERICA
-150,68.5, phh2o ,1120,6.3604, NAMERICA
-150,69, phh2o ,1095,6.3855, NAMERICA
-150,69.5, phh2o ,1070,6.57372, NAMERICA
-149.5,65, phh2o ,1294,5.42947, NAMERICA
-149.5,65.5, phh2o ,1270,5.24658, NAMERICA
-149.5,66, phh2o ,1245,5.15587, NAMERICA
-149.5,66.5, phh2o ,1220,6.16615, NAMERICA
-149.5,67, phh2o ,1195,6.27537, NAMERICA
-149.5,67.5, phh2o ,1171,6.2229, NAMERICA
-149.5,68, phh2o ,1146,6.242, NAMERICA
-149.5,68.5, phh2o ,1120,6.3604, NAMERICA
-149.5,69, phh2o ,1095,6.39177, NAMERICA
-149.5,69.5, phh2o ,1070,6.58627, NAMERICA
-149,65, phh2o ,1294,5.39238, NAMERICA
-149,65.5, phh2o ,1270,5.25781, NAMERICA
-149,66, phh2o ,1245,5.1672, NAMERICA
-149,66.5, phh2o ,1220,5.99777, NAMERICA
-149,67, phh2o ,1195,6.30363, NAMERICA
-149,67.5, phh2o ,1171,6.2229, NAMERICA
-149,68, phh2o ,1146,6.2229, NAMERICA
-149,68.5, phh2o ,1120,6.3604, NAMERICA
-149,69, phh2o ,1095,6.3604, NAMERICA
-149,69.5, phh2o ,1070,6.58627, NAMERICA
-148.5,65, phh2o ,1294,5.41239, NAMERICA
-148.5,65.5, phh2o ,1270,5.25781, NAMERICA
-148.5,66, phh2o ,1245,5.19268, NAMERICA
-148.5,66.5, phh2o ,1220,5.9641, NAMERICA
-148.5,67, phh2o ,1195,6.32785, NAMERICA
-148.5,67.5, phh2o ,1171,6.2229, NAMERICA
-148.5,68, phh2o ,1146,6.2229, NAMERICA
-148.5,68.5, phh2o ,1120,6.34894, NAMERICA
-148.5,69, phh2o ,1095,6.37922, NAMERICA
-148.5,69.5, phh2o ,1070,6.58627, NAMERICA
-148,65, phh2o ,1294,5.34113, NAMERICA
-148,65.5, phh2o ,1270,5.30349, NAMERICA
-148,66, phh2o ,1245,5.20684, NAMERICA
-148,66.5, phh2o ,1220,5.9641, NAMERICA
-148,67, phh2o ,1195,6.3561, NAMERICA
-148,67.5, phh2o ,1171,6.2229, NAMERICA
-148,68, phh2o ,1146,6.2229, NAMERICA
-148,68.5, phh2o ,1120,6.33748, NAMERICA
-148,69, phh2o ,1095,6.39805, NAMERICA
-148,69.5, phh2o ,1070,6.58627, NAMERICA
-147.5,65, phh2o ,1294,5.32688, NAMERICA
-147.5,65.5, phh2o ,1270,5.32633, NAMERICA
-147.5,66, phh2o ,1245,5.23799, NAMERICA
-147.5,66.5, phh2o ,1220,5.84385, NAMERICA
-147.5,67, phh2o ,1195,6.36821, NAMERICA
-147.5,67.5, phh2o ,1171,6.24308, NAMERICA
-147.5,68, phh2o ,1146,6.2229, NAMERICA
-147.5,68.5, phh2o ,1120,6.31457, NAMERICA
-147.5,69, phh2o ,1095,6.39805, NAMERICA
-147.5,69.5, phh2o ,1070,6.58627, NAMERICA
-147,65, phh2o ,1294,5.32688, NAMERICA
-147,65.5, phh2o ,1270,5.33036, NAMERICA
-147,66, phh2o ,1245,5.25781, NAMERICA
-147,66.5, phh2o ,1220,5.81301, NAMERICA
-147,67, phh2o ,1195,6.36821, NAMERICA
-147,67.5, phh2o ,1171,6.27941, NAMERICA
-147,68, phh2o ,1146,6.2229, NAMERICA
-147,68.5, phh2o ,1120,6.29547, NAMERICA
-147,69, phh2o ,1095,6.39805, NAMERICA
-147,69.5, phh2o ,1070,6.58627, NAMERICA
-146.5,65, phh2o ,1294,5.38388, NAMERICA
-146.5,65.5, phh2o ,1270,5.32633, NAMERICA
-146.5,66, phh2o ,1245,5.25781, NAMERICA
-146.5,66.5, phh2o ,1220,5.65879, NAMERICA
-146.5,67, phh2o ,1195,6.36821, NAMERICA
-146.5,67.5, phh2o ,1171,6.30766, NAMERICA
-146.5,68, phh2o ,1146,6.2229, NAMERICA
-146.5,68.5, phh2o ,1120,6.28019, NAMERICA
-146.5,69, phh2o ,1095,6.39805, NAMERICA
-146.5,69.5, phh2o ,1070,6.58627, NAMERICA
-146,65, phh2o ,1294,5.46939, NAMERICA
-146,65.5, phh2o ,1270,5.28065, NAMERICA
-146,66, phh2o ,1245,5.25781, NAMERICA
-146,66.5, phh2o ,1220,5.62794, NAMERICA
-146,67, phh2o ,1195,6.36821, NAMERICA
-146,67.5, phh2o ,1171,6.33592, NAMERICA
-146,68, phh2o ,1146,6.2229, NAMERICA
-146,68.5, phh2o ,1120,6.25346, NAMERICA
-146,69, phh2o ,1095,6.39805, NAMERICA
-146,69.5, phh2o ,1070,6.58627, NAMERICA
-145.5,65, phh2o ,1294,5.49204, NAMERICA
-145.5,65.5, phh2o ,1270,5.25781, NAMERICA
-145.5,66, phh2o ,1245,5.25781, NAMERICA
-145.5,66.5, phh2o ,1220,5.62794, NAMERICA
-145.5,67, phh2o ,1195,6.36821, NAMERICA
-145.5,67.5, phh2o ,1171,6.34399, NAMERICA
-145.5,68, phh2o ,1146,6.2229, NAMERICA
-145.5,68.5, phh2o ,1120,6.2229, NAMERICA
-145.5,69, phh2o ,1095,6.39041, NAMERICA
-145.5,69.5, phh2o ,1070,6.60198, NAMERICA
-145,65, phh2o ,1294,5.4291, NAMERICA
-145,65.5, phh2o ,1270,5.25781, NAMERICA
-145,66, phh2o ,1245,5.25781, NAMERICA
-145,66.5, phh2o ,1220,5.44288, NAMERICA
-145,67, phh2o ,1195,6.36821, NAMERICA
-145,67.5, phh2o ,1171,6.36821, NAMERICA
-145,68, phh2o ,1146,6.2229, NAMERICA
-145,68.5, phh2o ,1120,6.22672, NAMERICA
-145,69, phh2o ,1095,6.3726, NAMERICA
-145,69.5, phh2o ,1070,6.60198, NAMERICA
-144.5,65, phh2o ,1294,5.40368, NAMERICA
-144.5,65.5, phh2o ,1270,5.23083, NAMERICA
-144.5,66, phh2o ,1245,5.25781, NAMERICA
-144.5,66.5, phh2o ,1220,5.28865, NAMERICA
-144.5,67, phh2o ,1195,6.36821, NAMERICA
-144.5,67.5, phh2o ,1171,6.36417, NAMERICA
-144.5,68, phh2o ,1146,6.2229, NAMERICA
-144.5,68.5, phh2o ,1120,6.26109, NAMERICA
-144.5,69, phh2o ,1095,6.39805, NAMERICA
-144.5,69.5, phh2o ,1070,6.58627, NAMERICA
-144,65, phh2o ,1294,5.36371, NAMERICA
